IWN,NWN
482,0.7593361
328,0.7652439
482,0.7593361
482,0.7593361
482,0.7593361
448,0.7834821
466,0.7725322
400,0.7225
482,0.7593361
400,0.7225
439,0.7722096
411,0.7712895
482,0.7593361
482,0.7593361
482,0.7593361
482,0.7593361
482,0.7593361
482,0.7593361
482,0.7593361
482,0.7593361
