method_id,method,all,,LETOR 2.0 OHSUMED,,LETOR 3.0 OHSUMED,,LETOR 2.0 TD2003,,LETOR 3.0 TD2003,,LETOR 2.0 TD2004,,LETOR 3.0 TD2004,,NP2003,,NP2004,,HP2003,,HP2004,,MQ2007,,MQ2008,,MSLR-WEB10k,,MSLR-WEB30k,,Yandex IMC,,AOL,,Yahoo Set 1,,Yahoo Set 2,,WCL2R FS,,WCL2R NC,,,Mean,,Std. Dev,,Median,,Q1,,Q3,,Max,,Min,
,,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN,NWN,IWN
12,CA,20,0.95,10,0.9,20,0.95,20,0.95,20,0.95,10,1,20,0.95,20,0.95,20,0.95,20,0.95,20,0.95,20,0.95,20,0.95,20,0.95,20,0.95,20,0.95,20,0.95,20,0.95,20,0.95,20,0.95,20,0.95,,19,0.95,3,0.015811388,20,0.95,20,0.95,20,0.95,20,1,10,0.9
13,CCRank,23,0.65217391,23,0.65217391,23,0.65217391,23,0.65217391,23,0.65217391,23,0.65217391,23,0.65217391,23,0.65217391,23,0.65217391,23,0.65217391,23,0.65217391,23,0.65217391,23,0.65217391,19,0.63157895,19,0.63157895,23,0.65217391,23,0.65217391,14,0.71428571,17,0.64705882,23,0.65217391,23,0.65217391,,21.85,0.65296425,2.475378759,0.01536205,23,0.65217391,23,0.65217391,23,0.65217391,23,0.71428571,14,0.63157895
14,C-CRF,39,0.61538462,39,0.61538462,39,0.61538462,39,0.61538462,39,0.61538462,39,0.61538462,39,0.61538462,39,0.61538462,39,0.61538462,39,0.61538462,39,0.61538462,18,0.72222222,21,0.52380952,39,0.61538462,39,0.61538462,39,0.61538462,39,0.61538462,39,0.61538462,39,0.61538462,39,0.61538462,39,0.61538462,,37.05,0.616147745,5.869199264,0.031455226,39,0.61538462,39,0.61538462,39,0.61538462,39,0.72222222,18,0.52380952
15,CoList,8,0.375,8,0.375,8,0.375,8,0.375,8,0.375,8,0.375,8,0.375,8,0.375,8,0.375,8,0.375,8,0.375,8,0.375,8,0.375,8,0.375,8,0.375,8,0.375,8,0.375,8,0.375,,,8,0.375,8,0.375,,8,0.375,0,0,8,0.375,8,0.375,8,0.375,8,0.375,8,0.375
16,Consistent-RankCosine,13,0.76923077,13,0.76923077,13,0.76923077,13,0.76923077,13,0.76923077,13,0.76923077,13,0.76923077,13,0.76923077,13,0.76923077,13,0.76923077,13,0.76923077,13,0.76923077,13,0.76923077,13,0.76923077,9,1,13,0.76923077,13,0.76923077,4,0.25,13,0.76923077,13,0.76923077,13,0.76923077,,12.35,0.754807693,2.104162541,0.126232826,13,0.76923077,13,0.76923077,13,0.76923077,13,1,4,0.25
17,DCMP,587,0.54855196,587,0.54855196,471,0.6433121,587,0.54855196,504,0.57738095,587,0.54855196,511,0.58317025,548,0.51642336,527,0.51043643,547,0.53199269,527,0.5256167,527,0.52371917,534,0.53932584,587,0.54855196,587,0.54855196,587,0.54855196,587,0.54855196,587,0.54855196,587,0.54855196,587,0.54855196,587,0.54855196,,557.65,0.549272453,35.79284146,0.027373074,587,0.54855196,527,0.537492553,587,0.54855196,587,0.6433121,471,0.51043643
18,DirectRank,13,0.92307692,13,0.92307692,13,0.92307692,13,0.92307692,13,0.92307692,13,0.92307692,13,0.92307692,13,0.92307692,13,0.92307692,13,0.92307692,13,0.92307692,13,0.92307692,13,0.92307692,13,0.92307692,9,0.88888889,13,0.92307692,13,0.92307692,4,1,13,0.92307692,13,0.92307692,13,0.92307692,,12.35,0.925213673,2.104162541,0.01870116,13,0.92307692,13,0.92307692,13,0.92307692,13,1,4,0.88888889
19,EnergyNDCG,131,0.38931298,131,0.38931298,15,0.8,131,0.38931298,131,0.38931298,131,0.38931298,131,0.38931298,131,0.38931298,131,0.38931298,131,0.38931298,131,0.38931298,131,0.38931298,131,0.38931298,131,0.38931298,131,0.38931298,116,0.3362069,116,0.3362069,131,0.38931298,131,0.38931298,131,0.38931298,131,0.38931298,,123.7,0.404536723,25.33791625,0.092105671,131,0.38931298,131,0.38931298,131,0.38931298,131,0.8,15,0.3362069
20,FBPCRank,170,0.48823529,170,0.48823529,90,0.37777778,170,0.48823529,170,0.48823529,170,0.48823529,117,0.5042735,170,0.48823529,170,0.48823529,170,0.48823529,170,0.48823529,170,0.48823529,133,0.54887218,170,0.48823529,170,0.48823529,170,0.48823529,170,0.48823529,170,0.48823529,170,0.48823529,170,0.48823529,170,0.48823529,,161.5,0.48654617,21.3693706,0.028353003,170,0.48823529,170,0.48823529,170,0.48823529,170,0.54887218,90,0.37777778
21,FenchelRank,505,0.73069307,505,0.73069307,351,0.70655271,505,0.73069307,422,0.76303318,505,0.73069307,471,0.74734607,505,0.73069307,423,0.73049645,490,0.73265306,423,0.69739953,505,0.73069307,450,0.73111111,505,0.73069307,505,0.73069307,505,0.73069307,505,0.73069307,505,0.73069307,505,0.73069307,505,0.73069307,505,0.73069307,,479.75,0.730380101,42.25384598,0.012281119,505,0.73069307,465.75,0.73069307,505,0.73069307,505,0.76303318,351,0.69739953
