ListNet,931,890,777,884,816,893,821,876,849,876,849,850,860,931,931,931,931,931,931,931,931,0.49516649,0.48988764,0.54954955,0.47171946,0.48529412,0.49832027,0.52375152,0.48515982,0.4770318,0.46803653,0.5041225,0.49764706,0.49883721,0.49516649,0.49516649,0.49516649,0.49516649,0.49516649,0.49516649,0.49516649,0.49516649
SmoothRank,653,653,499,653,538,653,543,598,571,598,571,653,653,653,653,653,653,653,653,653,653,0.60030628,0.60030628,0.60521042,0.60030628,0.63197026,0.60030628,0.62615101,0.59197324,0.60420315,0.58026756,0.56742557,0.60030628,0.60030628,0.60030628,0.60030628,0.60030628,0.60030628,0.60030628,0.60030628,0.60030628,0.60030628
FSMRank,482,482,328,482,482,482,448,466,400,482,400,439,411,482,482,482,482,482,482,482,482,0.7593361,0.7593361,0.7652439,0.7593361,0.7593361,0.7593361,0.78348214,0.77253219,0.7225,0.7593361,0.7225,0.77220957,0.77128954,0.7593361,0.7593361,0.7593361,0.7593361,0.7593361,0.7593361,0.7593361,0.7593361
LRUF,460,460,306,460,345,460,350,460,460,460,460,379,460,460,460,460,460,460,460,460,460,0.97826087,0.97826087,0.96732026,0.97826087,0.97971014,0.97826087,0.99142857,0.97826087,0.97826087,0.97826087,0.97826087,0.97361478,0.97826087,0.97826087,0.97826087,0.97826087,0.97826087,0.97826087,0.97826087,0.97826087,0.97826087
LARF,379,379,225,379,264,379,269,379,379,379,379,379,379,379,379,379,379,379,379,379,379,0.98680739,0.98680739,0.99555556,0.98680739,0.98484848,0.98680739,0.98141264,0.98680739,0.98680739,0.98680739,0.98680739,0.98680739,0.98680739,0.98680739,0.98680739,0.98680739,0.98680739,0.98680739,0.98680739,0.98680739,0.98680739
FenchelRank,505,505,351,505,422,505,471,505,423,490,423,505,450,505,505,505,505,505,505,505,505,0.73069307,0.73069307,0.70655271,0.73069307,0.76303318,0.73069307,0.74734607,0.73069307,0.73049645,0.73265306,0.69739953,0.73069307,0.73111111,0.73069307,0.73069307,0.73069307,0.73069307,0.73069307,0.73069307,0.73069307,0.73069307
